S Chowdhury,Red Hat,Senior Software Engineer,
R Denis-Courmont,VideoLAN,Lead SW Architect,
R Varakantam,Red Hat,Principal Agile Coach,
S Sengupta,Gitcoin,Fullstack Developer,
Ph. Deppenwiese,9elements,Head of Firmware and IT-Security,
Paul L Amazona,Citi,Developer,
P. Hoffmann,C3VOC,,
O. Jariyapotngam,UNESCO Expert,Indigenous Languages,
N Balami,OK Nepal,Chief Executive Officer,
Hồng Quân,AgriConnect,CTO,
N Chauhan,Oracle,Principal Member Technical Staff,
M Kumarage,Sysco Labs,Software Engineer,
Masafumi Ohta,Raspberry Pi,Lead Contributor,
Mark v d Borre,FOSDEM ,,
J Le Lous,Capgemini,Field CTO,
Jonas v. Malottki,Daimler,Senior Manager Finance,
Huzaifa S,Red Hat,Principal Product Security Engineer,
Guruswamy,BVRIT ,Associate Professor,
G. Dumpleton,Red Hat,Developer Evangelist,
F. Cartegnie,VideoLAN,Developer,
Divyanshu N S,FOSSASIA,Full Stack Web Developer,
Graham Williams,Microsoft,Director of Data Science,
Tristan V Berkom,Codethink,Lead Software Engineer,
S Krishnamoorthy,IBM,,
Tarun Kumar,FOSSASIA,Student,
Suraj Narwade,Red Hat,Software Engineer,
Sunil Samal,Red Hat,Associate Software Engineer,
Sundeep Anand,Red Hat,Senior Software Engineer,
Steven Shiau,NCHC / Clonezilla,Researcher,
Stephen Frost,Crunchy Data,CTO,
Stefan Beyer,Cryptronics,CEO,
Srikar Mutnuri,Tata Consultancy,Developer,
S H Gajavalli,ICyberSol,Founder,
Sophia Curic,Sciencer,CTO,
Son Le Thanh,IBM ,,
Sinny Kumari,Red Hat,Senior Software Engineer,
Sindhu Chengad,Microsoft,OSS Lead at Microsoft,
S V Selvadurai,IBM,,
S Gurmukhdas,Mozilla,"Volunteer, Techspeaker",
Vinod Kumar ,Microsoft,,
Steve Chow,Microsoft,,
Zhidong Wang,IBM,,
Zack Yeo,IBM,,
Yogi Rampuria,Pivotal,Senior Platform Architect,
Yogesh Ojha,TATA Consultancy,Cyber Security Analyst,
William Tan,ITE West,Head/Technology Projects,
Vivek Khurana,Mintango,Founder & CEO,
Vaibhav Singh,BML,,
Urvashi Verma,DTU,Student,
Triton Ho,17media,Tech Guru,
Scott Jones,Six Kin,Managing Director,
Saumya Suvarna,Cisco,Software Enginner,
Satyajit Bulage,Red Hat,Quality Engineer,
Saroj Tripathy,Oracle,Principal Member Technical Staff,
Sanskar Jethi,FOSSASIA,Full Stack Developer,
Sanjeev K Biswas,SPH,Chief Architect,
Sai Vennam,IBM,,
Sachin Shridhar,Pivotal,"Vice President, Customer Success Organization, Asia Pacific and Japan",
S M Sarwar,Mozilla,Reps,
Ryan Teoh,Grab,Security Engineer,
Rushil Sharma,Red Hat,Technical Support Engineer OpenShift,
Rohan Malhotra,Clarisights,Technical Lead,
Bob Reyes,Mozilla,Tech Speaker,
R Authappan,Gitlab,Developer,
Rajika Imal,99X Technology,Software Engineer,
Rahul Akolkar,IBM,,
P Shenoy,IBM,,
Praduman,FOSSASIA,Web Developer,
Philip Paeps,FreeBSD,Developer,
Peter Körner,C3VOC,Core Contributor,
Paul Hamilton,South West Makers,Co-founder,
Parag Nemade,Red Hat,Senior Software Engineer,
Øystein Grøvlen,Alibaba Cloud,Senior Staff Engineer,
Owais Zahid,Autodesk,Software Development Manager,
Ong Khai Wei,IBM,,
O Kasaraboina,ScaledV,Director,
Norbert Preining,TeX Live,Developer,
N Gopalakrishnan,Oracle,Principal Member of Technical Staff,
Niharika Vadluri,BVRIT Hyderabad,,
Nicole Chua,IBM,,
Ng Meng Cher,IBM,,
Mohit Kumar,FOSSASIA,Developer,
M A. Imran,Eracorp,Founder and CTO,
Mitch Altman,Maker,CEO,
Mishari Muqbil,zymple.biz,Founder,
Misako Ito,UNESCO,Programme Specialist,
Michal Cichra,Red Hat,Principal Software Engineer,
Michael Ducy,Sysdig,Director of Open Source,
Michael Downey,UN Foundation,Director of Community,
Michael Christen,SUSI.AI,Founder,
Michael Cheng,Facebook,Licensing & Open Source Legal,
Michael Cannon,Axelerant,Chief Success Officer,
Michael Bright,@mjbright Consulting,"Trainer, Consultant",
Mete Atamel,Google,Developer Advocate,
Melvin Zhang,MagArena,Maintainer,
Mayank Prasad,Oracle,Principal Member Technical Staff,
Matthew Treinish,IBM,,
Matt Ware,First,Head of Operations,
Mathura B Tripura,Zabarang,Executive Director,
Mashrin Srivastava,Intel,Deep Learning Engineer,
Masayuki Igawa,SUSE,Senior Software Engineer,
Masashi Hamahira,Square Enix,Senior Manager,
Martin Michlmayr,SPI,CEO,
Martin Bähr,Beijing LUG,Founder,
Marian Marinov,SiteGround,Head System Architect,
Manuel Riel,iViveLabs Ltd,Founder,
M Padmal,PSLab,Software/Hardware Developer,
Lim Zui Young,GovTech,Associate Quality Engineer,
Lim Tit Meng,Science Centre,CEO,
Kumar Rishav,PayPal,Software Engineer,
Kogi Oberoi,Mechanical,Engineer,
Kitman Cheung,IBM,,
Kapil Chaudhary,Dell ,,
Jorge Morales,Red Hat,Developer Advocate,
Jollen Chen,Flowchain,Founder & CEO,
Jogendra Kumar,FOSSASIA,"iOS Developer, Open Source Contributor",
Joao Bilhim,Microsoft,,
Jerome Nilmeier,IBM,,
Jens Wilke,Headissue,General Manager,
Jens Petersen,Red Hat,Engineering manager,
Jean F Queralt,The IO Foundation,Founder & CEO,
Jason Zaman,Gentoo Linux,Developer,
Isham Mohamed MI,Kloudynet,Software Developer,
Ilya Verbitskiy,WebStoating,Partner,
Harshit Dwivedi,CodingBlocks,Android Developer,
Harshil Agrawal,SV Patel Institute,GitHub Campus Expert,
Harish Pillay,Red Hat,Community Architecture and Leadership,
H N Vadodaria,Oracle,Principal MTS,
Hamish Coleman,Dim Sum Labs,Member,
Gerry Demaret,FOSDEM,Organiser,
Georg Jähnig,Trovu,,
G Matthew Rice,LPI,Executive Director,
Flik Fok,IBM,,
Felipe Hoffa,Google,Developer Advocate,
Duane O'Brien,Indeed.com,Head of Open Source,
Dr Koh Tat Suan,LLI,Director,
Dr Data Ng,42Lab,CTO & Co-founder,
Dorn Bouttasing,Green Laos,Founder,
D M De Silva,GitHub,GitHub Campus Expert,
Dieter Stubler,independIT,Executive Director,
Davide Storti,UNESCO,FOSS Programme Manager,
Darren Evans,Microsoft,"Open Source Technical Solutions Professional, Microsoft Asia",
Darmadi Komo,Microsoft APAC,Data PMM,
Daniel Maslowski,img.ly,Software Engineer,
Colin Charles,GrokOpen,Managing Consultant,
Chris Travers,Adjust GmbH,Head of Database,
CH Vishwajith,Auth0 Inc,Ambassador,
CH Gopalareddy,Oracle,Principal Software Developer,
Carsten Haitzler,Arm,Technical Director,
Carol Chen,Red Hat,Senior Community Architect,
Bunnie Huang,Chibitronics,CTO,
Bhanu Shukla,Flipkart,,
B. Kandasamy,Oracle,"Senior Software Development Manager, MySQL Release Engineering",
Ayan Pahwa,Mentor,Embedded Software Engineer,
Aurélien Géron,Kiwisoft,AI Expert,
Augustine Correa,Hackerspace Mumbai,CTO,
Astrid Mager,ITA,Postdoctoral researcher,
Arundhati Gupta,FOSSASIA,Developer,
Arihant Godha,GitLab,Developer,
Aravind Putrevu,Elastic,Developer Advocate,
Anup K. Panwar,FOSSASIA,Open Source Developer,
Anup Kumar,IBM,,
Anuj Deshpande,Espressif Systems,Embedded Systems Engineer,
Anton Babenko,modules.tf,Terraform AWS fanatic,
Anshuman Verma,FOSSASIA,Developer,
Anjali Curic,Sciencer,CEO,
Anindyo Sarkar,IBM,,
Andrew Lee,Collabora,Software Engineer,
Andrea Frittoli,IBM,,
Anant Prasad,FOSSASIA,Android Developer,
Anand S,Gramener,CEO,
A N Narvekar,Mozilla,Representative,
Amit Sagtani,KDE Community,Software Developer,
A Bhattacharya,Oracle,Software Development Senior Manager,
Akshat Jain,FOSSASIA,Student Developer in Google Summer of Code 2018 with FOSSASIA,
Akshat Garg,FOSSASIA,Developer,
Aiko Klostermann,ThoughtWorks,Consultant/Developer,
Adnan Jalaludin,2-Watt Elements,"Design Engineer, Electronics and Embedded Systems",
Abhishek Ranjan,Bundl Technologies,Senior Software Development Engineer,
Abhinav Khare,FOSSASIA,,
Abhijeet Kasurde,Red Hat India,Senior Software Engineer,
Aayush Arora,Coding Blocks,Web Developer,
Aagam Shah,Red Hat,Data Scientist,